accession	genotype	subtype	protein	source_database	source_url	sequence_file	length_aa	include	status_notes
ACY65426.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65426.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65427.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65427.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65428.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65428.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65429.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65429.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65430.1	1	1a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65430.1	data/raw/e2-genotype-1a-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; from study of genotype 1a isolates (USA)
ACY65476.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65476.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65477.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65477.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65478.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65478.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65479.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65479.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65480.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65480.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65481.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65481.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65482.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65482.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65483.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65483.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65484.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65484.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65485.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65485.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65486.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65486.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65487.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65487.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65488.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65488.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65489.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65489.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
ACY65490.1	1	1b	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/ACY65490.1	data/raw/e2-genotype-1b-raw.fasta	420	yes	envelope protein 2 partial; E2 ectodomain region; genotype 1b isolates
BAB32872.1_E2_extract_aa384-747	2	2a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/BAB32872.1	data/raw/e2-genotype-2a-raw.fasta	364	needs-review	E2 EXTRACTED from JFH-1 polyprotein aa384-747 (approx coords); only 2a standalone E2 record available; verify extraction coords vs feature table
AFV59176.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59176.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59177.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59177.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59178.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59178.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59179.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59179.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59180.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59180.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59181.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59181.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59182.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59182.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59183.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59183.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59184.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59184.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59185.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59185.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59186.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59186.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59187.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59187.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59188.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59188.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59189.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59189.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59190.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59190.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
AFV59191.1	3	3a	E2	NCBI Protein	https://www.ncbi.nlm.nih.gov/protein/AFV59191.1	data/raw/e2-genotype-3a-raw.fasta	369	yes	envelope glycoprotein E2 partial; labeled Orthohepacivirus hominis (current ICTV name for HCV); confirmed 3a by search query; ~369 aa ectodomain
